sensor,datetime,temperature,humidity
DHT11,2022/07/10 10:43,30,56
DHT11,2022/07/10 10:53,31,56
DHT11,2022/07/10 11:03,31,55
DHT11,2022/07/10 11:13,31,55
DHT11,2022/07/10 11:23,31,56
DHT11,2022/07/10 11:33,31,55
DHT11,2022/07/10 11:43,31,55
DHT11,2022/07/10 11:53,31,54
DHT11,2022/07/10 12:03,31,54
DHT11,2022/07/10 12:13,31,53
DHT11,2022/07/10 12:23,31,53
DHT11,2022/07/10 12:33,31,54
DHT11,2022/07/10 12:43,31,53
DHT11,2022/07/10 12:53,31,53
DHT11,2022/07/10 13:03,31,53
DHT11,2022/07/10 13:13,31,53
DHT11,2022/07/10 13:23,31,53
DHT11,2022/07/10 13:33,31,52
DHT11,2022/07/10 13:43,31,53
DHT11,2022/07/10 13:53,31,53
DHT11,2022/07/10 14:03,31,52
DHT11,2022/07/10 14:13,31,52
DHT11,2022/07/10 14:23,32,52
DHT11,2022/07/10 14:33,31,52
DHT11,2022/07/10 14:43,32,52
DHT11,2022/07/10 14:53,32,52
DHT11,2022/07/10 15:03,32,52
DHT11,2022/07/10 15:13,32,51
DHT11,2022/07/10 15:23,32,51
DHT11,2022/07/10 15:33,32,51
DHT11,2022/07/10 15:43,32,50
DHT11,2022/07/10 15:53,32,50
DHT11,2022/07/10 16:03,32,50
DHT11,2022/07/10 16:13,32,50
DHT11,2022/07/10 16:23,32,50
DHT11,2022/07/10 16:33,32,50
DHT11,2022/07/10 16:43,32,50
DHT11,2022/07/10 16:53,32,50
DHT11,2022/07/10 17:03,32,50
DHT11,2022/07/10 17:13,32,50
DHT11,2022/07/10 17:23,32,50
DHT11,2022/07/10 17:33,32,50
DHT11,2022/07/10 17:43,32,49
DHT11,2022/07/10 17:53,32,49
DHT11,2022/07/10 18:03,32,50
DHT11,2022/07/10 18:13,32,50
DHT11,2022/07/10 18:23,32,51
DHT11,2022/07/10 18:33,32,51
DHT11,2022/07/10 18:44,32,51
DHT11,2022/07/10 18:54,32,52
DHT11,2022/07/10 19:04,32,52
DHT11,2022/07/10 19:14,32,52
DHT11,2022/07/10 19:24,32,53
DHT11,2022/07/10 19:34,32,53
DHT11,2022/07/10 19:44,32,53
DHT11,2022/07/10 19:54,32,53
DHT11,2022/07/10 20:04,32,53
DHT11,2022/07/10 20:14,32,53
DHT11,2022/07/10 20:24,32,54
DHT11,2022/07/10 20:34,32,55
DHT11,2022/07/10 20:44,31,55
DHT11,2022/07/10 20:54,31,55
DHT11,2022/07/10 21:04,31,55
DHT11,2022/07/10 21:14,31,53
DHT11,2022/07/10 21:24,31,53
DHT11,2022/07/10 21:34,31,52
DHT11,2022/07/10 21:44,31,52
DHT11,2022/07/10 21:54,31,51
DHT11,2022/07/10 22:04,31,52
DHT11,2022/07/10 22:14,31,54
DHT11,2022/07/10 22:24,31,55
DHT11,2022/07/10 22:34,31,57
DHT11,2022/07/10 22:44,31,57
DHT11,2022/07/10 22:54,30,57
DHT11,2022/07/10 23:04,30,57
DHT11,2022/07/10 23:14,30,58
DHT11,2022/07/10 23:24,30,58
DHT11,2022/07/10 23:34,30,58
DHT11,2022/07/10 23:44,30,57
DHT11,2022/07/10 23:54,30,59
DHT11,2022/07/11 0:04,30,58
DHT11,2022/07/11 0:14,30,59
DHT11,2022/07/11 0:24,30,59
DHT11,2022/07/11 0:34,30,59
DHT11,2022/07/11 0:44,30,59
DHT11,2022/07/11 0:54,30,59
DHT11,2022/07/11 1:04,30,59
DHT11,2022/07/11 1:14,30,60
DHT11,2022/07/11 1:24,30,60
DHT11,2022/07/11 1:34,30,60
DHT11,2022/07/11 1:44,30,60
DHT11,2022/07/11 1:54,30,60
DHT11,2022/07/11 2:04,30,60
DHT11,2022/07/11 2:14,30,60
DHT11,2022/07/11 2:24,30,60
DHT11,2022/07/11 2:34,30,60
DHT11,2022/07/11 2:44,30,60
DHT11,2022/07/11 2:54,30,60
DHT11,2022/07/11 3:04,30,61
DHT11,2022/07/11 3:14,30,60
DHT11,2022/07/11 3:24,30,60
DHT11,2022/07/11 3:34,30,61
DHT11,2022/07/11 3:44,30,60
DHT11,2022/07/11 3:54,30,59
DHT11,2022/07/11 4:04,30,59
DHT11,2022/07/11 4:14,30,60
DHT11,2022/07/11 4:24,30,59
DHT11,2022/07/11 4:34,30,59
DHT11,2022/07/11 4:44,30,59
DHT11,2022/07/11 4:54,30,58
DHT11,2022/07/11 5:04,30,60
DHT11,2022/07/11 5:14,30,59
DHT11,2022/07/11 5:24,30,60
DHT11,2022/07/11 5:34,30,60
DHT11,2022/07/11 5:44,30,59
DHT11,2022/07/11 5:54,30,60
DHT11,2022/07/11 6:04,30,60
DHT11,2022/07/11 6:14,30,59
DHT11,2022/07/11 6:24,30,59
DHT11,2022/07/11 6:34,30,59
DHT11,2022/07/11 6:44,30,57
DHT11,2022/07/11 6:54,30,56
DHT11,2022/07/11 7:04,30,56
DHT11,2022/07/11 7:14,30,57
DHT11,2022/07/11 7:24,30,56
DHT11,2022/07/11 7:34,30,55
DHT11,2022/07/11 7:44,28,57
DHT11,2022/07/11 7:54,27,56
DHT11,2022/07/11 8:04,27,56
DHT11,2022/07/11 8:14,27,55
DHT11,2022/07/11 8:24,27,56
DHT11,2022/07/11 8:34,26,56
DHT11,2022/07/11 8:44,26,58
DHT11,2022/07/11 8:54,26,59
DHT11,2022/07/11 9:04,26,59
DHT11,2022/07/11 9:14,26,59
DHT11,2022/07/11 9:24,26,58
DHT11,2022/07/11 9:34,26,58
DHT11,2022/07/11 9:44,26,59
DHT11,2022/07/11 9:54,26,59
DHT11,2022/07/11 10:04,26,59
DHT11,2022/07/11 10:14,26,59
DHT11,2022/07/11 10:24,26,60
DHT11,2022/07/11 10:35,26,60
DHT11,2022/07/11 10:45,26,60
DHT11,2022/07/11 10:55,27,59
DHT11,2022/07/11 11:05,26,59
DHT11,2022/07/11 11:15,27,59
DHT11,2022/07/11 11:25,27,59
DHT11,2022/07/11 11:35,27,59
DHT11,2022/07/11 11:45,27,59
DHT11,2022/07/11 11:55,27,59
DHT11,2022/07/11 12:05,26,61
DHT11,2022/07/11 12:15,26,61
DHT11,2022/07/11 12:25,26,60
DHT11,2022/07/11 12:35,26,61
DHT11,2022/07/11 12:45,25,61
DHT11,2022/07/11 12:55,26,61
DHT11,2022/07/11 13:05,26,61
DHT11,2022/07/11 13:15,26,61
DHT11,2022/07/11 13:25,26,59
DHT11,2022/07/11 13:35,26,59
DHT11,2022/07/11 13:45,26,59
DHT11,2022/07/11 13:55,27,58
DHT11,2022/07/11 14:05,26,59
DHT11,2022/07/11 14:15,26,59
DHT11,2022/07/11 14:25,27,58
DHT11,2022/07/11 14:35,27,57
DHT11,2022/07/11 14:45,26,59
DHT11,2022/07/11 14:55,27,58
DHT11,2022/07/11 15:05,27,57
DHT11,2022/07/11 15:15,27,58
DHT11,2022/07/11 15:25,27,58
DHT11,2022/07/11 15:35,27,58
DHT11,2022/07/11 15:45,26,59
DHT11,2022/07/11 15:55,27,58
DHT11,2022/07/11 16:05,27,58
DHT11,2022/07/11 16:15,27,58
DHT11,2022/07/11 16:25,27,58
DHT11,2022/07/11 16:35,27,56
DHT11,2022/07/11 16:45,27,56
DHT11,2022/07/11 16:55,27,57
DHT11,2022/07/11 17:05,27,57
DHT11,2022/07/11 17:15,27,57
DHT11,2022/07/11 17:25,27,56
DHT11,2022/07/11 17:35,27,56
DHT11,2022/07/11 17:45,27,56
DHT11,2022/07/11 17:55,27,56
DHT11,2022/07/11 18:05,28,57
DHT11,2022/07/11 18:15,28,60
DHT11,2022/07/11 18:25,28,61
DHT11,2022/07/11 18:35,28,61
DHT11,2022/07/11 18:45,29,62
DHT11,2022/07/11 18:55,29,62
DHT11,2022/07/11 19:05,29,63
DHT11,2022/07/11 19:15,29,62
DHT11,2022/07/11 19:25,29,62
DHT11,2022/07/11 19:35,29,62
DHT11,2022/07/11 19:45,29,61
DHT11,2022/07/11 19:55,29,61
DHT11,2022/07/11 20:05,29,59
DHT11,2022/07/11 20:15,29,59
DHT11,2022/07/11 20:25,29,58
DHT11,2022/07/11 20:35,29,57
DHT11,2022/07/11 20:45,29,55
DHT11,2022/07/11 20:55,29,56
DHT11,2022/07/11 21:05,29,56
DHT11,2022/07/11 21:15,29,54
DHT11,2022/07/11 21:25,30,54
DHT11,2022/07/11 21:35,30,54
DHT11,2022/07/11 21:45,30,54
DHT11,2022/07/11 21:55,30,54
DHT11,2022/07/11 22:05,30,54
DHT11,2022/07/11 22:15,30,54
DHT11,2022/07/11 22:25,30,55
DHT11,2022/07/11 22:35,30,54
DHT11,2022/07/11 22:45,30,56
DHT11,2022/07/11 22:55,30,52
DHT11,2022/07/11 23:05,30,55
DHT11,2022/07/11 23:15,30,52
DHT11,2022/07/11 23:25,30,52
DHT11,2022/07/11 23:35,30,51
DHT11,2022/07/11 23:45,30,51
DHT11,2022/07/11 23:55,30,52
DHT11,2022/07/12 0:05,30,52
DHT11,2022/07/12 0:15,30,51
DHT11,2022/07/12 0:25,30,53
DHT11,2022/07/12 0:35,30,52
DHT11,2022/07/12 0:45,30,52
DHT11,2022/07/12 0:56,30,50
DHT11,2022/07/12 1:06,30,48
DHT11,2022/07/12 1:16,30,49
DHT11,2022/07/12 1:26,30,50
DHT11,2022/07/12 1:36,30,52
DHT11,2022/07/12 1:46,30,49
DHT11,2022/07/12 1:56,30,49
DHT11,2022/07/12 2:06,30,50
DHT11,2022/07/12 2:16,30,52
DHT11,2022/07/12 2:26,30,53
DHT11,2022/07/12 2:36,30,54
DHT11,2022/07/12 2:46,30,54
DHT11,2022/07/12 2:56,30,51
DHT11,2022/07/12 3:06,30,52
DHT11,2022/07/12 3:16,30,51
DHT11,2022/07/12 3:26,30,51
DHT11,2022/07/12 3:36,30,51
DHT11,2022/07/12 3:46,30,51
DHT11,2022/07/12 3:56,30,52
DHT11,2022/07/12 4:06,30,51
DHT11,2022/07/12 4:16,30,51
DHT11,2022/07/12 4:26,30,52
DHT11,2022/07/12 4:36,30,51
DHT11,2022/07/12 4:46,30,53
DHT11,2022/07/12 4:56,30,52
DHT11,2022/07/12 5:06,30,51
DHT11,2022/07/12 5:16,30,53
DHT11,2022/07/12 5:26,30,52
DHT11,2022/07/12 5:36,31,53
DHT11,2022/07/12 5:46,31,53
DHT11,2022/07/12 5:56,30,52
DHT11,2022/07/12 6:06,28,53
DHT11,2022/07/12 6:16,27,54
DHT11,2022/07/12 6:26,27,55
DHT11,2022/07/12 6:36,26,56
DHT11,2022/07/12 6:46,26,58
DHT11,2022/07/12 6:56,26,58
DHT11,2022/07/12 7:06,26,58
DHT11,2022/07/12 7:16,26,58
DHT11,2022/07/12 7:26,25,58
DHT11,2022/07/12 7:36,25,58
DHT11,2022/07/12 7:46,25,58
DHT11,2022/07/12 7:56,25,57
DHT11,2022/07/12 8:06,25,58
DHT11,2022/07/12 8:16,25,59
DHT11,2022/07/12 8:26,25,59
DHT11,2022/07/12 8:36,25,60
DHT11,2022/07/12 8:46,25,60
DHT11,2022/07/12 8:56,26,58
DHT11,2022/07/12 9:06,26,58
DHT11,2022/07/12 9:16,26,57
DHT11,2022/07/12 9:26,26,57
DHT11,2022/07/12 9:36,26,57
DHT11,2022/07/12 9:46,26,58
DHT11,2022/07/12 9:56,26,57
DHT11,2022/07/12 10:06,26,56
DHT11,2022/07/12 10:16,26,57
DHT11,2022/07/12 10:26,26,57
DHT11,2022/07/12 10:36,26,58
DHT11,2022/07/12 10:46,26,59
DHT11,2022/07/12 10:56,26,59
DHT11,2022/07/12 11:06,26,60
DHT11,2022/07/12 11:16,26,59
DHT11,2022/07/12 11:26,26,59
DHT11,2022/07/12 11:36,26,59
DHT11,2022/07/12 11:46,26,58
DHT11,2022/07/12 11:56,26,58
DHT11,2022/07/12 12:06,26,58
DHT11,2022/07/12 12:16,26,58
DHT11,2022/07/12 12:26,26,58
DHT11,2022/07/12 12:36,26,59
DHT11,2022/07/12 12:46,26,60
DHT11,2022/07/12 12:56,26,60
DHT11,2022/07/12 13:06,25,59
DHT11,2022/07/12 13:16,25,60
DHT11,2022/07/12 13:26,26,59
DHT11,2022/07/12 13:36,26,58
DHT11,2022/07/12 13:46,26,59
DHT11,2022/07/12 13:56,27,58
DHT11,2022/07/12 14:06,26,58
DHT11,2022/07/12 14:16,26,59
DHT11,2022/07/12 14:27,26,58
DHT11,2022/07/12 14:37,26,58
DHT11,2022/07/12 14:47,27,55
DHT11,2022/07/12 14:57,27,57
DHT11,2022/07/12 15:07,27,56
DHT11,2022/07/12 15:17,27,55
